Id,redfin_url,redfin_value,status,fetched_at
10790183,https://www.redfin.com/MI/Birmingham/1482-Bowers-St-48009/home/61231548,536651,ok,2026-05-25T16:56:37.0643539Z
10793972,https://www.redfin.com/MI/Birmingham/916-Ruffner-Ave-48009/home/61250506,760277,ok,2026-05-25T16:56:37.5890657Z
10793973,https://www.redfin.com/MI/Birmingham/1873-Cole-St-48009/home/61294330,448480,ok,2026-05-25T16:56:41.0801203Z
10793975,https://www.redfin.com/MI/Birmingham/711-Bennaville-Ave-48009/home/61236995,647325,ok,2026-05-25T16:56:43.1337844Z
10793979,https://www.redfin.com/MI/Birmingham/1255-Villa-Rd-48009/home/99214571,679313,ok,2026-05-25T16:56:46.4965262Z
10793980,https://www.redfin.com/MI/Birmingham/1272-Villa-Rd-48009/home/99214550,465199,ok,2026-05-25T16:56:48.7603569Z
10808901,https://www.redfin.com/MI/Birmingham/1768-Birmingham-Blvd-48009/home/61250380,750164,ok,2026-05-25T16:56:51.6657896Z
10827011,https://www.redfin.com/MI/Birmingham/544-Catalpa-Dr-48009/home/61251443,1976685,ok,2026-05-25T16:56:54.0268448Z
10991543,https://www.redfin.com/MI/Birmingham/1087-Westwood-Dr-48009/home/61256525,1735665,ok,2026-05-25T16:56:56.9686846Z
10991557,https://www.redfin.com/MI/Birmingham/1889-Haynes-St-48009/home/61165952,527971,ok,2026-05-25T16:56:59.8847120Z
10991613,https://www.redfin.com/MI/Birmingham/752-Lakeside-Dr-48009/home/61255235,3925348,ok,2026-05-25T16:57:02.6735017Z
10999324,https://www.redfin.com/MI/Birmingham/685-Kimberly-St-48009/home/61230823,1094107,ok,2026-05-25T16:57:05.4542536Z
10999325,https://www.redfin.com/MI/Birmingham/275-S-Glenhurst-Dr-48009/home/99104268,647184,ok,2026-05-25T16:57:08.2598710Z
10999329,https://www.redfin.com/MI/Birmingham/1170-Fairfax-St-48009/home/99203293,2144344,ok,2026-05-25T16:57:11.3268287Z
10999350,https://www.redfin.com/MI/Birmingham/1875-Stanley-Blvd-48009/home/61256839,1000043,ok,2026-05-25T16:57:13.9351193Z
10999351,https://www.redfin.com/MI/Birmingham/1408-S-Bates-St-48009/home/99207950,1133158,ok,2026-05-25T16:57:17.1968658Z
10999353,https://www.redfin.com/MI/Birmingham/1912-Washington-Blvd-48009/home/61210917,1973969,ok,2026-05-25T16:57:19.3499385Z
10999356,https://www.redfin.com/MI/Birmingham/280-Northlawn-Blvd-48009/home/61240660,1131911,ok,2026-05-25T16:57:22.3807371Z
10999357,https://www.redfin.com/MI/Birmingham/1146-Henrietta-St-48009/home/61314550,3617,ok,2026-05-25T16:57:24.8507630Z
10999358,https://www.redfin.com/MI/Birmingham/1357-W-Lincoln-St-48009/home/99207035,1159001,ok,2026-05-25T16:57:27.9835434Z
10999360,https://www.redfin.com/MI/Birmingham/1007-Chester-St-48009/home/61229117,543210,ok,2026-05-25T16:57:30.3755911Z
10999362,https://www.redfin.com/MI/Birmingham/1790-Washington-Blvd-48009/home/61209348,1881294,ok,2026-05-25T16:57:33.3288411Z
10999385,https://www.redfin.com/MI/Birmingham/1918-Bowers-St-48009/home/61193174,398274,ok,2026-05-25T16:57:35.7860326Z
10999386,https://www.redfin.com/MI/Birmingham/1948-Hazel-St-48009/home/61186198,1329700,ok,2026-05-25T16:57:38.8028593Z
10999504,https://www.redfin.com/MI/Birmingham/787-Harmon-St-48009/home/67162056,2070307,ok,2026-05-25T16:57:41.1176747Z
10999505,https://www.redfin.com/MI/Birmingham/1390-Lake-Park-Dr-48009/home/99203575,1201996,ok,2026-05-25T16:57:44.4395933Z
11091762,https://www.redfin.com/MI/Birmingham/1737-Stanley-Blvd-48009/home/61257138,1063039,ok,2026-05-25T16:57:46.4755803Z
11116825,https://www.redfin.com/MI/Birmingham/1774-E-Maple-Rd-48009/home/60567161,374327,ok,2026-05-25T16:57:49.7963748Z
